name,team,battingStyle,bowlingStyle,playingRole,image
DevonConway,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter,
RuturajGaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/102.png
MoeenAli,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder,
BenStokes,Super Kings,Left hand Bat,Right arm Fast medium,Allrounder,
AmbatiRayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter,
ShivamDube,Super Kings,Left hand Bat,Right arm Medium,Allrounder,
RavindraJadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/46.png
MSDhoni,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
MitchellSantner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
WriddhimanSaha,Titans,Right hand Bat,Not Available,Wicketkeeper Batter,
ShubmanGill,Titans,Right hand Bat,Right arm Offbreak,Opening Batter,https://www.gujarattitansipl.com/static-assets/images/players/66818.png
SaiSudharsan,Titans,Left hand Bat,Legbreak,Top order Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/976.png
HardikPandya,Titans,Right hand Bat,Right arm Medium fast,Allrounder,
VijayShankar,Titans,Right hand Bat,Right arm Medium,Allrounder,
RahulTewatia,Titans,Left hand Bat,Legbreak,Bowling Allrounder,
RashidKhan,Titans,Right hand Bat,Legbreak Googly,Bowling Allrounder,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/218.png
MohammedShami,Titans,Right hand Bat,Right arm Fast,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/47.png
JoshLittle,Titans,Right hand Bat,Left arm Fast medium,Bowler,
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler,
YashDayal,Titans,Right hand Bat,Left arm Medium fast,Bowler,
DeepakChahar,Super Kings,Right hand Bat,Right arm Medium,Bowler,
TusharDeshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler,
RajvardhanHangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
PrabhsimranSingh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,
ShikharDhawan,Punjab Kings,Left hand Bat,Right arm Offbreak,Opening Batter,
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter,
JiteshSharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder,
SamCurran,Punjab Kings,Left hand Bat,Left arm Medium fast,Allrounder,
MShahrukhKhan,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter,
MandeepSingh,KKR,Right hand Bat,Right arm Medium,Allrounder,
RahmanullahGurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder,
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder,
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,
RinkuSingh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/152.png
AndreRussell,KKR,Right hand Bat,Right arm Fast,Allrounder,
ShardulThakur,KKR,Right hand Bat,Right arm Medium,Bowler,
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler,
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler,
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler,
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler,
NathanEllis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler,
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder,
RahulChahar,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler,
HarpreetBrar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler,
KLRahul,Super Giants,Right hand Bat,Not Available,Wicketkeeper Batter,
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder,
DeepakHooda,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,
KrunalPandya,Super Giants,Left hand Bat,Slow Left arm Orthodox,Allrounder,
MarcusStoinis,Super Giants,Right hand Bat,Right arm Medium,Batting Allrounder,
NicholasPooran,Super Giants,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/136.png
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter,
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
PrithviShaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter,
DavidWarner,Capitals,Left hand Bat,Legbreak,Opening Batter,
MitchellMarsh,Capitals,Right hand Bat,Right arm Medium,Allrounder,
SarfarazKhan,Capitals,Right hand Bat,Legbreak,Middle order Batter,
RileeRossouw,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter,
RovmanPowell,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter,
AmanHakimKhan,Capitals,Right hand Bat,Right arm Medium,Allrounder,
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
KuldeepYadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler,
ChetanSakariya,Capitals,Left hand Bat,Left arm Medium fast,Bowler,
MukeshKumar,Capitals,Right hand Bat,Right arm Medium,Bowler,
KhaleelAhmed,Capitals,Right hand Bat,Left arm Medium,Bowler,
JaydevUnadkat,Super Giants,Right hand Bat,Left arm Medium,Bowler,
AveshKhan,Super Giants,Right hand Bat,Right arm Fast medium,Bowler,
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler,
RaviBishnoi,Super Giants,Right hand Bat,Legbreak Googly,Bowler,
YashasviJaiswal,Royals,Left hand Bat,Legbreak,Opening Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/533.png
JosButtler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,
SanjuSamson,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,
DevduttPadikkal,Royals,Left hand Bat,Right arm Offbreak,Top order Batter,
RiyanParag,Royals,Right hand Bat,Legbreak,Top order Batter,
ShimronHetmyer,Royals,Left hand Bat,Not Available,Top order Batter,
RavichandranAshwin,Royals,Right hand Bat,Right arm Offbreak,Bowling Allrounder,
AbhishekSharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder,
MayankAgarwal,Sunrisers,Right hand Bat,Right arm Offbreak,Batter,
RahulTripathi,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter,
HarryBrook,Sunrisers,Right hand Bat,Right arm Medium,Batter,
WashingtonSundar,Sunrisers,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
GlennPhillips,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
AbdulSamad,Sunrisers,Right hand Bat,Legbreak,Batter,
AdilRashid,Sunrisers,Right hand Bat,Legbreak,Bowler,
BhuvneshwarKumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler,
UmranMalik,Sunrisers,Right hand Bat,Right arm Fast,Bowler,
FazalhaqFarooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler,
TNatarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler,
TrentBoult,Royals,Right hand Bat,Left arm Fast medium,Bowler,
KMAsif,Royals,Right hand Bat,Right arm Medium,Bowler,
JasonHolder,Royals,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
YuzvendraChahal,Royals,Right hand Bat,Legbreak Googly,Bowler,
NavdeepSaini,Royals,Right hand Bat,Right arm Fast,Bowler,
RohitSharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter,
IshanKishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/164.png
CameronGreen,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder,
SuryakumarYadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/174.png
TilakVarma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder,https://cricgram.b-cdn.net/wp-content/uploads/2022/03/tilak-varma.jpg
NehalWadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter,
TimDavid,Mumbai,Right hand Bat,Right arm Offbreak,Middle order Batter,
HrithikShokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler,
ArshadKhan,Mumbai,Left hand Bat,Left arm Medium,Bowler,
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter,
FafduPlessis,RCB,Right hand Bat,Legbreak,Middle order Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/94.png
DineshKarthik,RCB,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,
MohammedSiraj,RCB,Right hand Bat,Right arm Fast,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/63.png
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler,
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler,
KarnSharma,RCB,Left hand Bat,Legbreak Googly,Bowler,
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder,
JasonBehrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler,
JofraArcher,Mumbai,Right hand Bat,Right arm Fast,Bowler,
PiyushChawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder,
YashThakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler,
AbishekPorel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter,
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler,
DavidMiller,Titans,Left hand Bat,Right arm Offbreak,Middle order Batter,
DhruvJurel,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,
AnujRawat,RCB,Left hand Bat,Not Available,Wicketkeeper Batter,
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder,
SuyashSharma,KKR,Right hand Bat,Legbreak Googly,Bowler,
AnmolpreetSingh,Sunrisers,Right hand Bat,Right arm Offbreak,Batter,
AidenMarkram,Sunrisers,Right hand Bat,Right arm Offbreak,Opening Batter,
RomarioShepherd,Super Giants,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
AmitMishra,Super Giants,Right hand Bat,Legbreak,Bowler,
ManishPandey,Capitals,Right hand Bat,Right arm Medium,Top order Batter,
LalitYadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder,
SandeepSharma,Royals,Right hand Bat,Right arm Medium,Bowler,
MuruganAshwin,Royals,Right hand Bat,Legbreak Googly,Bowler,
TristanStubbs,Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
AjinkyaRahane,Super Kings,Right hand Bat,Right arm Medium,Top order Batter,
SisandaMagala,Super Kings,Right hand Bat,Right arm Fast medium,Bowler,
DwainePretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder,
KumarKartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,
AbhinavManohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder,
NarayanJagadeesan,KKR,Right hand Bat,Not Available,Opening Batter,
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler,
MatthewShort,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter,
MohitRathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder,
MarcoJansen,Sunrisers,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
MayankMarkande,Sunrisers,Right hand Bat,Legbreak,Bowler,
WayneParnell,RCB,Left hand Bat,Left arm Medium fast,Bowler,
YashDhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter,
MustafizurRahman,Capitals,Left hand Bat,Left arm Fast medium,Bowler,
RileyMeredith,Mumbai,Right hand Bat,Right arm Fast,Bowler,
AdamZampa,Royals,Right hand Bat,Legbreak Googly,Bowler,
AkashSingh,Super Kings,Right hand Bat,Left arm Medium fast,Bowler,
MaheeshTheekshana,Super Kings,Right hand Bat,Right arm Offbreak,Bowler,
KuldeepSen,Royals,Right hand Bat,Right arm Fast,Bowler,
MohitSharma,Titans,Right hand Bat,Right arm Medium,Bowler,
KagisoRabada,Punjab Kings,Left hand Bat,Right arm Fast,Bowler,
HeinrichKlaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/202.png
MahipalLomror,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder,
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler,
WaninduHasaranga,RCB,Right hand Bat,Legbreak,Allrounder,
YudhvirSingh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
HarpreetSingh,Punjab Kings,Left hand Bat,Right arm Medium,Batter,
ArjunTendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler,
DuanJansen,Mumbai,Right hand Bat,Left arm Fast,Bowler,
NoorAhmad,Titans,Right hand Bat,Left arm Wrist spin,Bowler,
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder,
MatheeshaPathirana,Super Kings,Right hand Bat,Right arm Fast,Bowler,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1014.png
Naveen-ul-Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler,
LiamLivingstone,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,
JasonRoy,KKR,Right hand Bat,Not Available,Opening Batter,
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
PhilSalt,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
IshantSharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler,
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler,
MayankDagar,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler,
PrerakMankad,Super Giants,Right hand Bat,Right arm Medium,Allrounder,
JayantYadav,Titans,Right hand Bat,Right arm Offbreak,Bowler,
AbdulBasith,Royals,Right hand Bat,Right arm Offbreak,Allrounder,
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder,
RipalPatel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter,
VaibhavArora,KKR,Right hand Bat,Right arm Fast medium,Bowler,
KuldipYadav,Royals,Left hand Bat,Left arm Fast medium,Bowler,
GurnoorBrar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler,
HarshitRana,KKR,Right hand Bat,Right arm Fast,Bowler,
AkealHosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,
PriyamGarg,Capitals,Right hand Bat,Right arm Medium,Top order Batter,
JoshHazlewood,RCB,Left hand Bat,Right arm Fast medium,Bowler,
AkashMadhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler,
KartikTyagi,Sunrisers,Right hand Bat,Right arm Fast,Bowler,
RaghavGoyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler,
QuintondeKock,Super Giants,Left hand Bat,Not Available,Wicketkeeper Batter,
SwapnilSingh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler,
MohsinKhan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler,
VivrantSharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder,
ObedMcCoy,Royals,Left hand Bat,Left arm Fast medium,Bowler,
KedarJadhav,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder,
ChrisJordan,Mumbai,Right hand Bat,Right arm Fast medium,Bowler,
JoeRoot,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,
VishnuVinod,Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter,
PraveenDubey,Capitals,Right hand Bat,Legbreak Googly,Bowler,
DasunShanaka,Titans,Right hand Bat,Right arm Medium,Allrounder,
SanvirSingh,Sunrisers,Right hand Bat,Right arm Medium,Allrounder,
NitishKumarReddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder,
KaranSharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler,
DarshanNalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler,
