name,team,link
DevonConway ,Super Kings,https://www.espncricinfo.com/cricketers/devon-conway-379140
RuturajGaikwad ,Super Kings,https://www.espncricinfo.com/cricketers/ruturaj-gaikwad-1060380
MoeenAli ,Super Kings,https://www.espncricinfo.com/cricketers/moeen-ali-8917
BenStokes ,Super Kings,https://www.espncricinfo.com/cricketers/ben-stokes-311158
AmbatiRayudu ,Super Kings,https://www.espncricinfo.com/cricketers/ambati-rayudu-33141
ShivamDube ,Super Kings,https://www.espncricinfo.com/cricketers/shivam-dube-714451
RavindraJadeja ,Super Kings,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
MSDhoni (c)†,Super Kings,https://www.espncricinfo.com/cricketers/ms-dhoni-28081
MitchellSantner ,Super Kings,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
WriddhimanSaha †,Titans,https://www.espncricinfo.com/cricketers/wriddhiman-saha-279810
ShubmanGill ,Titans,https://www.espncricinfo.com/cricketers/shubman-gill-1070173
SaiSudharsan ,Titans,https://www.espncricinfo.com/cricketers/sai-sudharsan-1151288
HardikPandya (c),Titans,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
VijayShankar ,Titans,https://www.espncricinfo.com/cricketers/vijay-shankar-477021
RahulTewatia ,Titans,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
RashidKhan ,Titans,https://www.espncricinfo.com/cricketers/rashid-khan-793463
MohammedShami,Titans,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
HardikPandya,Titans,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
JoshLittle,Titans,https://www.espncricinfo.com/cricketers/josh-little-928067
RashidKhan,Titans,https://www.espncricinfo.com/cricketers/rashid-khan-793463
AlzarriJoseph,Titans,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031
YashDayal,Titans,https://www.espncricinfo.com/cricketers/yash-dayal-1159720
DeepakChahar,Super Kings,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
TusharDeshpande,Super Kings,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
RajvardhanHangargekar,Super Kings,https://www.espncricinfo.com/cricketers/rajvardhan-hangargekar-1175429
MitchellSantner,Super Kings,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
RavindraJadeja,Super Kings,https://www.espncricinfo.com/cricketers/ravindra-jadeja-234675
PrabhsimranSingh ,Punjab Kings,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024
ShikharDhawan (c),Punjab Kings,https://www.espncricinfo.com/cricketers/shikhar-dhawan-28235
BhanukaRajapaksa ,Punjab Kings,https://www.espncricinfo.com/cricketers/bhanuka-rajapaksa-342619
JiteshSharma †,Punjab Kings,https://www.espncricinfo.com/cricketers/jitesh-sharma-721867
SikandarRaza ,Punjab Kings,https://www.espncricinfo.com/cricketers/sikandar-raza-299572
SamCurran ,Punjab Kings,https://www.espncricinfo.com/cricketers/sam-curran-662973
MShahrukhKhan ,Punjab Kings,https://www.espncricinfo.com/cricketers/m-shahrukh-khan-719719
MandeepSingh ,KKR,https://www.espncricinfo.com/cricketers/mandeep-singh-398506
RahmanullahGurbaz †,KKR,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087
AnukulRoy ,KKR,https://www.espncricinfo.com/cricketers/anukul-roy-1079839
VenkateshIyer ,KKR,https://www.espncricinfo.com/cricketers/venkatesh-iyer-851403
NitishRana (c),KKR,https://www.espncricinfo.com/cricketers/nitish-rana-604527
RinkuSingh ,KKR,https://www.espncricinfo.com/cricketers/rinku-singh-723105
AndreRussell ,KKR,https://www.espncricinfo.com/cricketers/andre-russell-276298
ShardulThakur ,KKR,https://www.espncricinfo.com/cricketers/shardul-thakur-475281
SunilNarine ,KKR,https://www.espncricinfo.com/cricketers/sunil-narine-230558
UmeshYadav,KKR,https://www.espncricinfo.com/cricketers/umesh-yadav-376116
TimSouthee,KKR,https://www.espncricinfo.com/cricketers/tim-southee-232364
SunilNarine,KKR,https://www.espncricinfo.com/cricketers/sunil-narine-230558
VarunChakravarthy,KKR,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375
ShardulThakur,KKR,https://www.espncricinfo.com/cricketers/shardul-thakur-475281
SamCurran,Punjab Kings,https://www.espncricinfo.com/cricketers/sam-curran-662973
ArshdeepSingh,Punjab Kings,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
NathanEllis,Punjab Kings,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
SikandarRaza,Punjab Kings,https://www.espncricinfo.com/cricketers/sikandar-raza-299572
RishiDhawan,Punjab Kings,https://www.espncricinfo.com/cricketers/rishi-dhawan-290727
RahulChahar,Punjab Kings,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
HarpreetBrar,Punjab Kings,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
KLRahul (c),Super Giants,https://www.espncricinfo.com/cricketers/kl-rahul-422108
KyleMayers ,Super Giants,https://www.espncricinfo.com/cricketers/kyle-mayers-348056
DeepakHooda ,Super Giants,https://www.espncricinfo.com/cricketers/deepak-hooda-497121
KrunalPandya ,Super Giants,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
MarcusStoinis ,Super Giants,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
NicholasPooran †,Super Giants,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302
AyushBadoni ,Super Giants,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
KrishnappaGowtham ,Super Giants,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377
PrithviShaw ,Capitals,https://www.espncricinfo.com/cricketers/prithvi-shaw-1070168
DavidWarner (c),Capitals,https://www.espncricinfo.com/cricketers/david-warner-219889
MitchellMarsh ,Capitals,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
SarfarazKhan †,Capitals,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525
RileeRossouw ,Capitals,https://www.espncricinfo.com/cricketers/rilee-rossouw-318845
RovmanPowell ,Capitals,https://www.espncricinfo.com/cricketers/rovman-powell-820351
AmanHakimKhan ,Capitals,https://www.espncricinfo.com/cricketers/aman-hakim-khan-1254269
AxarPatel ,Capitals,https://www.espncricinfo.com/cricketers/axar-patel-554691
KuldeepYadav ,Capitals,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
ChetanSakariya ,Capitals,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
MukeshKumar ,Capitals,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
KhaleelAhmed,Capitals,https://www.espncricinfo.com/cricketers/khaleel-ahmed-942645
MukeshKumar,Capitals,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
ChetanSakariya,Capitals,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
AxarPatel,Capitals,https://www.espncricinfo.com/cricketers/axar-patel-554691
KuldeepYadav,Capitals,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
KyleMayers,Super Giants,https://www.espncricinfo.com/cricketers/kyle-mayers-348056
JaydevUnadkat,Super Giants,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
KrishnappaGowtham,Super Giants,https://www.espncricinfo.com/cricketers/krishnappa-gowtham-424377
AveshKhan,Super Giants,https://www.espncricinfo.com/cricketers/avesh-khan-694211
MarkWood,Super Giants,https://www.espncricinfo.com/cricketers/mark-wood-351588
RaviBishnoi,Super Giants,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
YashasviJaiswal ,Royals,https://www.espncricinfo.com/cricketers/yashasvi-jaiswal-1151278
JosButtler ,Royals,https://www.espncricinfo.com/cricketers/jos-buttler-308967
SanjuSamson (c)†,Royals,https://www.espncricinfo.com/cricketers/sanju-samson-425943
DevduttPadikkal ,Royals,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
RiyanParag ,Royals,https://www.espncricinfo.com/cricketers/riyan-parag-1079434
ShimronHetmyer ,Royals,https://www.espncricinfo.com/cricketers/shimron-hetmyer-670025
RavichandranAshwin ,Royals,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
AbhishekSharma ,Sunrisers,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
MayankAgarwal ,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-agarwal-398438
RahulTripathi ,Sunrisers,https://www.espncricinfo.com/cricketers/rahul-tripathi-446763
HarryBrook ,Sunrisers,https://www.espncricinfo.com/cricketers/harry-brook-911707
WashingtonSundar ,Sunrisers,https://www.espncricinfo.com/cricketers/washington-sundar-719715
GlennPhillips †,Sunrisers,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
AbdulSamad ,Sunrisers,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
AdilRashid ,Sunrisers,https://www.espncricinfo.com/cricketers/adil-rashid-244497
BhuvneshwarKumar (c),Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
UmranMalik ,Sunrisers,https://www.espncricinfo.com/cricketers/umran-malik-1246528
BhuvneshwarKumar,Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
FazalhaqFarooqi,Sunrisers,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
WashingtonSundar,Sunrisers,https://www.espncricinfo.com/cricketers/washington-sundar-719715
TNatarajan,Sunrisers,https://www.espncricinfo.com/cricketers/t-natarajan-802575
AdilRashid,Sunrisers,https://www.espncricinfo.com/cricketers/adil-rashid-244497
UmranMalik,Sunrisers,https://www.espncricinfo.com/cricketers/umran-malik-1246528
TrentBoult,Royals,https://www.espncricinfo.com/cricketers/trent-boult-277912
KMAsif,Royals,https://www.espncricinfo.com/cricketers/km-asif-1083030
JasonHolder,Royals,https://www.espncricinfo.com/cricketers/jason-holder-391485
RavichandranAshwin,Royals,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
YuzvendraChahal,Royals,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246
NavdeepSaini,Royals,https://www.espncricinfo.com/cricketers/navdeep-saini-700167
RohitSharma (c),Mumbai,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
IshanKishan †,Mumbai,https://www.espncricinfo.com/cricketers/ishan-kishan-720471
CameronGreen ,Mumbai,https://www.espncricinfo.com/cricketers/cameron-green-1076713
SuryakumarYadav ,Mumbai,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
TilakVarma ,Mumbai,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
NehalWadhera ,Mumbai,https://www.espncricinfo.com/cricketers/nehal-wadhera-1151273
TimDavid ,Mumbai,https://www.espncricinfo.com/cricketers/tim-david-892749
HrithikShokeen ,Mumbai,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423
ArshadKhan ,Mumbai,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
ViratKohli ,RCB,https://www.espncricinfo.com/cricketers/virat-kohli-253802
FafduPlessis (c),RCB,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828
DineshKarthik †,RCB,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045
GlennMaxwell ,RCB,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
MohammedSiraj,RCB,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973
ReeceTopley,RCB,https://www.espncricinfo.com/cricketers/reece-topley-461632
AkashDeep,RCB,https://www.espncricinfo.com/cricketers/akash-deep-1176959
HarshalPatel,RCB,https://www.espncricinfo.com/cricketers/harshal-patel-390481
KarnSharma,RCB,https://www.espncricinfo.com/cricketers/karn-sharma-30288
MichaelBracewell,RCB,https://www.espncricinfo.com/cricketers/michael-bracewell-326968
GlennMaxwell,RCB,https://www.espncricinfo.com/cricketers/glenn-maxwell-325026
JasonBehrendorff,Mumbai,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477
ArshadKhan,Mumbai,https://www.espncricinfo.com/cricketers/arshad-khan-1244751
JofraArcher,Mumbai,https://www.espncricinfo.com/cricketers/jofra-archer-669855
PiyushChawla,Mumbai,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
CameronGreen,Mumbai,https://www.espncricinfo.com/cricketers/cameron-green-1076713
HrithikShokeen,Mumbai,https://www.espncricinfo.com/cricketers/hrithik-shokeen-1175423
MarkWood ,Super Giants,https://www.espncricinfo.com/cricketers/mark-wood-351588
KrunalPandya,Super Giants,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
YashThakur,Super Giants,https://www.espncricinfo.com/cricketers/yash-thakur-1070196
BenStokes,Super Kings,https://www.espncricinfo.com/cricketers/ben-stokes-311158
MoeenAli,Super Kings,https://www.espncricinfo.com/cricketers/moeen-ali-8917
SarfarazKhan ,Capitals,https://www.espncricinfo.com/cricketers/sarfaraz-khan-642525
AbishekPorel †,Capitals,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
AnrichNortje ,Capitals,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
DavidMiller ,Titans,https://www.espncricinfo.com/cricketers/david-miller-321777
AnrichNortje,Capitals,https://www.espncricinfo.com/cricketers/anrich-nortje-481979
MitchellMarsh,Capitals,https://www.espncricinfo.com/cricketers/mitchell-marsh-272450
DhruvJurel ,Royals,https://www.espncricinfo.com/cricketers/dhruv-jurel-1175488
JasonHolder ,Royals,https://www.espncricinfo.com/cricketers/jason-holder-391485
UmeshYadav ,KKR,https://www.espncricinfo.com/cricketers/umesh-yadav-376116
MichaelBracewell ,RCB,https://www.espncricinfo.com/cricketers/michael-bracewell-326968
HarshalPatel ,RCB,https://www.espncricinfo.com/cricketers/harshal-patel-390481
ShahbazAhmed ,RCB,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
AnujRawat ,RCB,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
DavidWilley ,RCB,https://www.espncricinfo.com/cricketers/david-willey-308251
KarnSharma ,RCB,https://www.espncricinfo.com/cricketers/karn-sharma-30288
AkashDeep ,RCB,https://www.espncricinfo.com/cricketers/akash-deep-1176959
DavidWilley,RCB,https://www.espncricinfo.com/cricketers/david-willey-308251
ShahbazAhmed,RCB,https://www.espncricinfo.com/cricketers/shahbaz-ahmed-1159711
SuyashSharma,KKR,https://www.espncricinfo.com/cricketers/suyash-sharma-1350792
