name,team,link
AnmolpreetSingh †,Sunrisers,https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261
AidenMarkram (c),Sunrisers,https://www.espncricinfo.com/cricketers/aiden-markram-600498
BhuvneshwarKumar ,Sunrisers,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
RomarioShepherd ,Super Giants,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
DeepakHooda,Super Giants,https://www.espncricinfo.com/cricketers/deepak-hooda-497121
AmitMishra,Super Giants,https://www.espncricinfo.com/cricketers/amit-mishra-31107
AidenMarkram,Sunrisers,https://www.espncricinfo.com/cricketers/aiden-markram-600498
ManishPandey ,Capitals,https://www.espncricinfo.com/cricketers/manish-pandey-290630
LalitYadav ,Capitals,https://www.espncricinfo.com/cricketers/lalit-yadav-930189
RovmanPowell,Capitals,https://www.espncricinfo.com/cricketers/rovman-powell-820351
SandeepSharma,Royals,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362
MuruganAshwin,Royals,https://www.espncricinfo.com/cricketers/murugan-ashwin-528067
TristanStubbs ,Mumbai,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
PiyushChawla ,Mumbai,https://www.espncricinfo.com/cricketers/piyush-chawla-32966
AjinkyaRahane ,Super Kings,https://www.espncricinfo.com/cricketers/ajinkya-rahane-277916
SisandaMagala,Super Kings,https://www.espncricinfo.com/cricketers/sisanda-magala-379776
DwainePretorius,Super Kings,https://www.espncricinfo.com/cricketers/dwaine-pretorius-327830
KumarKartikeya,Mumbai,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843
AbhinavManohar ,Titans,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
NarayanJagadeesan ,KKR,https://www.espncricinfo.com/cricketers/narayan-jagadeesan-1048813
LockieFerguson,KKR,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
MatthewShort ,Punjab Kings,https://www.espncricinfo.com/cricketers/matthew-short-605575
HarpreetBrar ,Punjab Kings,https://www.espncricinfo.com/cricketers/harpreet-brar-1168641
RahulChahar ,Punjab Kings,https://www.espncricinfo.com/cricketers/rahul-chahar-1064812
NathanEllis ,Punjab Kings,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
MohitRathee ,Punjab Kings,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361
MarcoJansen,Sunrisers,https://www.espncricinfo.com/cricketers/marco-jansen-696401
MayankMarkande,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-markande-1081442
MohitRathee,Punjab Kings,https://www.espncricinfo.com/cricketers/mohit-rathee-1349361
JaydevUnadkat ,Super Giants,https://www.espncricinfo.com/cricketers/jaydev-unadkat-390484
RaviBishnoi ,Super Giants,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
AveshKhan ,Super Giants,https://www.espncricinfo.com/cricketers/avesh-khan-694211
WayneParnell,RCB,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
YashDhull ,Capitals,https://www.espncricinfo.com/cricketers/yash-dhull-1292498
MustafizurRahman ,Capitals,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
RileyMeredith,Mumbai,https://www.espncricinfo.com/cricketers/riley-meredith-961713
TilakVarma,Mumbai,https://www.espncricinfo.com/cricketers/tilak-varma-1170265
MustafizurRahman,Capitals,https://www.espncricinfo.com/cricketers/mustafizur-rahman-330902
LalitYadav,Capitals,https://www.espncricinfo.com/cricketers/lalit-yadav-930189
AdamZampa ,Royals,https://www.espncricinfo.com/cricketers/adam-zampa-379504
AkashSingh,Super Kings,https://www.espncricinfo.com/cricketers/akash-singh-1175458
MaheeshTheekshana,Super Kings,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316
KuldeepSen,Royals,https://www.espncricinfo.com/cricketers/kuldeep-sen-1163695
AdamZampa,Royals,https://www.espncricinfo.com/cricketers/adam-zampa-379504
RishiDhawan ,Punjab Kings,https://www.espncricinfo.com/cricketers/rishi-dhawan-290727
MohitSharma,Titans,https://www.espncricinfo.com/cricketers/mohit-sharma-537119
KagisoRabada,Punjab Kings,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
MatthewShort,Punjab Kings,https://www.espncricinfo.com/cricketers/matthew-short-605575
HeinrichKlaasen †,Sunrisers,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
AndreRussell,KKR,https://www.espncricinfo.com/cricketers/andre-russell-276298
MahipalLomror ,RCB,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265
VijaykumarVyshak,RCB,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815
WaninduHasaranga,RCB,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
YudhvirSingh ,Super Giants,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
AtharvaTaide ,Punjab Kings,https://www.espncricinfo.com/cricketers/atharva-taide-1125958
HarpreetSingh ,Punjab Kings,https://www.espncricinfo.com/cricketers/harpreet-singh-340854
SamCurran (c),Punjab Kings,https://www.espncricinfo.com/cricketers/sam-curran-662973
KagisoRabada ,Punjab Kings,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215
YudhvirSingh,Super Giants,https://www.espncricinfo.com/cricketers/yudhvir-singh-1206052
RohitSharma ,Mumbai,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
SuryakumarYadav (c),Mumbai,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
ArjunTendulkar,Mumbai,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
DuanJansen,Mumbai,https://www.espncricinfo.com/cricketers/duan-jansen-595954
AlzarriJoseph ,Titans,https://www.espncricinfo.com/cricketers/alzarri-joseph-670031
TrentBoult ,Royals,https://www.espncricinfo.com/cricketers/trent-boult-277912
NoorAhmad,Titans,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529
SuyashPrabhudessai ,RCB,https://www.espncricinfo.com/cricketers/suyash-prabhudessai-1083851
WayneParnell ,RCB,https://www.espncricinfo.com/cricketers/wayne-parnell-265564
WaninduHasaranga ,RCB,https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379
MatheeshaPathirana,Super Kings,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
MarcoJansen ,Sunrisers,https://www.espncricinfo.com/cricketers/marco-jansen-696401
MayankMarkande ,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-markande-1081442
Naveen-ul-Haq,Super Giants,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447
MarcusStoinis,Super Giants,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012
ViratKohli (c),RCB,https://www.espncricinfo.com/cricketers/virat-kohli-253802
FafduPlessis ,RCB,https://www.espncricinfo.com/cricketers/faf-du-plessis-44828
LiamLivingstone ,Punjab Kings,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
ArshdeepSingh ,Punjab Kings,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
LiamLivingstone,Punjab Kings,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
JasonRoy ,KKR,https://www.espncricinfo.com/cricketers/jason-roy-298438
LittonDas †,KKR,https://www.espncricinfo.com/cricketers/litton-das-536936
VarunChakravarthy ,KKR,https://www.espncricinfo.com/cricketers/varun-chakravarthy-1108375
PhilSalt †,Capitals,https://www.espncricinfo.com/cricketers/phil-salt-669365
IshantSharma,Capitals,https://www.espncricinfo.com/cricketers/ishant-sharma-236779
KulwantKhejroliya,KKR,https://www.espncricinfo.com/cricketers/kulwant-khejroliya-1083033
AnukulRoy,KKR,https://www.espncricinfo.com/cricketers/anukul-roy-1079839
NitishRana,KKR,https://www.espncricinfo.com/cricketers/nitish-rana-604527
MayankDagar,Sunrisers,https://www.espncricinfo.com/cricketers/mayank-dagar-942367
PrerakMankad ,Super Giants,https://www.espncricinfo.com/cricketers/prerak-mankad-956871
JayantYadav,Titans,https://www.espncricinfo.com/cricketers/jayant-yadav-447587
RahulTewatia,Titans,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
JofraArcher ,Mumbai,https://www.espncricinfo.com/cricketers/jofra-archer-669855
VijaykumarVyshak ,RCB,https://www.espncricinfo.com/cricketers/vijaykumar-vyshak-777815
MohammedSiraj ,RCB,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973
AbdulBasith ,Royals,https://www.espncricinfo.com/cricketers/abdul-basith-1287067
NarayanJagadeesan †,KKR,https://www.espncricinfo.com/cricketers/narayan-jagadeesan-1048813
DavidWiese ,KKR,https://www.espncricinfo.com/cricketers/david-wiese-221140
DavidWiese,KKR,https://www.espncricinfo.com/cricketers/david-wiese-221140
RipalPatel ,Capitals,https://www.espncricinfo.com/cricketers/ripal-patel-1201520
IshantSharma ,Capitals,https://www.espncricinfo.com/cricketers/ishant-sharma-236779
ArjunTendulkar ,Mumbai,https://www.espncricinfo.com/cricketers/arjun-tendulkar-1148776
JasonBehrendorff ,Mumbai,https://www.espncricinfo.com/cricketers/jason-behrendorff-272477
RileyMeredith ,Mumbai,https://www.espncricinfo.com/cricketers/riley-meredith-961713
VaibhavArora,KKR,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292
KuldipYadav,Royals,https://www.espncricinfo.com/cricketers/kuldip-yadav-1206495
GurnoorBrar,Punjab Kings,https://www.espncricinfo.com/cricketers/gurnoor-brar-1287033
AyushBadoni,Super Giants,https://www.espncricinfo.com/cricketers/ayush-badoni-1151270
RahmanullahGurbaz ,KKR,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087
HarshitRana,KKR,https://www.espncricinfo.com/cricketers/harshit-rana-1312645
AkealHosein ,Sunrisers,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
PriyamGarg ,Capitals,https://www.espncricinfo.com/cricketers/priyam-garg-1070180
AkealHosein,Sunrisers,https://www.espncricinfo.com/cricketers/akeal-hosein-530812
AbhishekSharma,Sunrisers,https://www.espncricinfo.com/cricketers/abhishek-sharma-1070183
JoshHazlewood ,RCB,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284
AmitMishra ,Super Giants,https://www.espncricinfo.com/cricketers/amit-mishra-31107
Naveen-ul-Haq ,Super Giants,https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447
JoshHazlewood,RCB,https://www.espncricinfo.com/cricketers/josh-hazlewood-288284
MahipalLomror,RCB,https://www.espncricinfo.com/cricketers/mahipal-lomror-853265
AkashMadhwal,Mumbai,https://www.espncricinfo.com/cricketers/akash-madhwal-1206039
HarshitRana ,KKR,https://www.espncricinfo.com/cricketers/harshit-rana-1312645
VaibhavArora ,KKR,https://www.espncricinfo.com/cricketers/vaibhav-arora-1209292
KartikTyagi,Sunrisers,https://www.espncricinfo.com/cricketers/kartik-tyagi-1122918
SandeepSharma ,Royals,https://www.espncricinfo.com/cricketers/sandeep-sharma-438362
RaghavGoyal,Mumbai,https://www.espncricinfo.com/cricketers/raghav-goyal-1350770
TristanStubbs,Mumbai,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
QuintondeKock †,Super Giants,https://www.espncricinfo.com/cricketers/quinton-de-kock-379143
NicholasPooran ,Super Giants,https://www.espncricinfo.com/cricketers/nicholas-pooran-604302
SwapnilSingh ,Super Giants,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
KrunalPandya (c),Super Giants,https://www.espncricinfo.com/cricketers/krunal-pandya-471342
MohsinKhan,Super Giants,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005
SwapnilSingh,Super Giants,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
AnmolpreetSingh ,Sunrisers,https://www.espncricinfo.com/cricketers/anmolpreet-singh-851261
GlennPhillips ,Sunrisers,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
VivrantSharma,Sunrisers,https://www.espncricinfo.com/cricketers/vivrant-sharma-1252370
ObedMcCoy,Royals,https://www.espncricinfo.com/cricketers/obed-mccoy-906783
KedarJadhav ,RCB,https://www.espncricinfo.com/cricketers/kedar-jadhav-290716
ChrisJordan,Mumbai,https://www.espncricinfo.com/cricketers/chris-jordan-288992
DeepakChahar ,Super Kings,https://www.espncricinfo.com/cricketers/deepak-chahar-447261
TusharDeshpande ,Super Kings,https://www.espncricinfo.com/cricketers/tushar-deshpande-822553
JoeRoot,Royals,https://www.espncricinfo.com/cricketers/joe-root-303669
VishnuVinod ,Mumbai,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
NoorAhmad ,Titans,https://www.espncricinfo.com/cricketers/noor-ahmad-1182529
GlennPhillips,Sunrisers,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
PraveenDubey ,Capitals,https://www.espncricinfo.com/cricketers/praveen-dubey-777515
PraveenDubey,Capitals,https://www.espncricinfo.com/cricketers/praveen-dubey-777515
JoeRoot ,Royals,https://www.espncricinfo.com/cricketers/joe-root-303669
KMAsif ,Royals,https://www.espncricinfo.com/cricketers/km-asif-1083030
DasunShanaka ,Titans,https://www.espncricinfo.com/cricketers/dasun-shanaka-437316
MohammedShami ,Titans,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
MohitSharma ,Titans,https://www.espncricinfo.com/cricketers/mohit-sharma-537119
SanvirSingh ,Sunrisers,https://www.espncricinfo.com/cricketers/sanvir-singh-1132219
FazalhaqFarooqi ,Sunrisers,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
NitishKumarReddy,Sunrisers,https://www.espncricinfo.com/cricketers/nitish-kumar-reddy-1175496
KaranSharma ,Super Giants,https://www.espncricinfo.com/cricketers/karan-sharma-1246518
VivrantSharma ,Sunrisers,https://www.espncricinfo.com/cricketers/vivrant-sharma-1252370
DineshKarthik ,RCB,https://www.espncricinfo.com/cricketers/dinesh-karthik-30045
AnujRawat †,RCB,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
HimanshuSharma,RCB,https://www.espncricinfo.com/cricketers/himanshu-sharma-1350761
DarshanNalkande ,Titans,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917
DarshanNalkande,Titans,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917
ChrisJordan ,Mumbai,https://www.espncricinfo.com/cricketers/chris-jordan-288992
MohsinKhan ,Super Giants,https://www.espncricinfo.com/cricketers/mohsin-khan-1132005
VishnuVinod †,Mumbai,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
KumarKartikeya ,Mumbai,https://www.espncricinfo.com/cricketers/kumar-kartikeya-1159843
